Name,Age,Salary,Purchases,City
Ali,25,50000,3,Karachi
Sara,30,62000,5,Lahore
Bilal,-5,45000,2,Karachi
Ayesha,28,,4,Islamabad
Hassan,200,58000,1,Lahore
Zara,35,71000,6,Karachi
Usman,22,39000,-2,Islamabad
Mariam,29,,3,Lahore
Fahad,41,85000,7,Karachi
Sana,27,52000,4,Islamabad
Ali,25,50000,3,Karachi
Nida,33,64000,5,Lahore
Kamran,,49000,2,Karachi
Hira,26,53000,3,Islamabad
Omar,150000,60000,4,Lahore
Ali,25,50000,3,Karachi
Zainab,31,68000,6,Karachi
Tariq,45,92000,8,Islamabad
Sadia,24,41000,2,Lahore
Junaid,38,77000,5,Karachi
